T,800 ℃,950 ℃
δ,0.125-0.25,0.125-0.25
Sr0.125Sm0.875Fe0.125Mn0.625Ti0.25,2.54671,2.40984
Sr0.125Sm0.875Fe0.125Ni0.125Ti0.25,2.12591,1.99056
Sr0.125Sm0.875Fe0.25Co0.5Ti0.25,2.57962,2.43298
Sr0.125Sm0.875Fe0.25Mn0.5Ti0.25,2.5379,2.40254
Sr0.125Sm0.875Fe0.375Co0.375Ti0.25,2.6635,2.52298
Sr0.125Sm0.875Fe0.375Mn0.375Ti0.25,2.68937,2.55393
Sr0.125Sm0.875Fe0.5Co0.25Ti0.25,2.54984,2.41197
Sr0.125Sm0.875Fe0.5Cu0.25Ti0.25,2.1636,2.01792
Sr0.125Sm0.875Fe0.5Mn0.25Ti0.25,2.61535,2.48027
Sr0.125Sm0.875Fe0.5Ni0.25Ti0.25,2.53946,2.40488
Sr0.125Sm0.875Mg0.5Ni0.125Ti0.375,2.7182,2.59599
Sr0.125Sm0.875Mn0.5Ni0.25Ti0.25,2.15858,2.01971
Sr0.125Sm0.875Mn0.625Mg0.125Ti0.25,2.31302,2.17254
Sr0.125Sm0.875Mn0.625Ni0.125Ti0.25,2.33309,2.19268
Sr0.125Y0.25Sm0.625Fe0.625Ti0.375,2.73245,2.60806
Sr0.125Y0.375Sm0.5Fe0.5Ti0.5,2.73827,2.60262
Sr0.125Y0.375Sm0.5Fe0.625Ti0.375,2.33839,2.22506
Sr0.125Y0.375Sm0.5Ni0.625Ti0.375,2.37489,2.25251
Sr0.125Y0.5Sm0.375Ni0.625Ti0.375,2.44374,2.32232
Sr0.125Y0.625Sm0.25Fe0.625Ti0.375,2.56044,2.43503
Sr0.125Y0.625Sm0.25Ni0.625Ti0.375,2.59695,2.47017
Sr0.25Ba0.125Ca0.5K0.125Ti1,2.08519,2.01534
Sr0.25Ba0.125Ca0.625Fe0.125.875,2.66301,2.50041
Sr0.25Ba0.125K0.125Sm0.5Ti1,2.23825,2.17333
Sr0.25Ba0.125K0.125Y0.5Ti1,2.19237,2.12272
Sr0.25Ba0.125La0.5K0.125Ti1,2.23923,2.17831
Sr0.25Ba0.25Ca0.375K0.125Ti1,2.1724,2.10692
Sr0.25Ba0.25Ca0.5Fe0.125.875,2.72979,2.57106
Sr0.25Ba0.25K0.125Sm0.375Ti1,2.25909,2.19451
Sr0.25Ba0.25K0.125Y0.375Ti1,2.19733,2.12989
Sr0.25Ba0.25La0.375K0.125Ti1,2.2584,2.19384
Sr0.25Ba0.25Y0.5Fe0.25.75,2.66435,2.5194
Sr0.25Ba0.375Ca0.25K0.125Ti1,2.14157,2.07453
Sr0.25Ba0.375Ca0.375Fe0.125.875,2.72025,2.56385
Sr0.25Ba0.375K0.125Sm0.25Ti1,2.1755,2.11081
Sr0.25Ba0.375K0.125Y0.25Ti1,2.14345,2.07864
Sr0.25Ba0.375La0.25K0.125Ti1,2.21426,2.15414
Sr0.25Ba0.375La0.375Fe0.25.75,2.68106,2.54206
Sr0.25Ba0.375Sm0.375Fe0.25.75,2.42525,2.28683
Sr0.25Ba0.375Y0.375Fe0.25.75,2.35709,2.21499
Sr0.25Ba0.5Ca0.125K0.125Ti1,2.08943,2.02012
Sr0.25Ba0.5Ca0.25Fe0.125.875,2.60208,2.44979
Sr0.25Ba0.5K0.125Sm0.125Ti1,2.14659,2.08144
Sr0.25Ba0.5K0.125Y0.125Ti1,2.10434,2.03882
Sr0.25Ba0.5La0.125K0.125Ti1,2.13112,2.06813
Sr0.25Ba0.5La0.25Fe0.25.75,2.35051,2.21193
Sr0.25Ba0.5Sm0.25Fe0.25.75,2.19965,2.05872
Sr0.25Ba0.5Y0.25Fe0.125.875,2.69464,2.56383
Sr0.25Ba0.5Y0.25Fe0.25.75,2.14478,1.99839
Sr0.25Ba0.625Ca0.125Fe0.125.875,2.55463,2.4096
Sr0.25Ba0.625La0.125Fe0.25.75,2.17078,2.03598
Sr0.25Ba0.75Co0.125Cu0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Cu0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Cu0.375Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Co0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Co0.125Mn0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Mn0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Mn0.375Ti0.5,2.11082,1.96866
Sr0.25Ba0.75Co0.125Ni0.125.75,2.6885,2.5598
Sr0.25Ba0.75Co0.125Ni0.25.625,2.69303,2.55892
Sr0.25Ba0.75Co0.125Ni0.375Ti0.5,2.11874,1.97727
Sr0.25Ba0.75Co0.25Cu0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Cu0.25Ti0.5,2.0938,1.95418
Sr0.25Ba0.75Co0.25Mg0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Mg0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.25Mn0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Mn0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.25Ni0.125.625,2.69303,2.55892
Sr0.25Ba0.75Co0.25Ni0.25Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Cu0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Mg0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Mn0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Co0.375Ni0.125Ti0.5,2.1049,1.96293
Sr0.25Ba0.75Cu0.125Mg0.125.75,2.6885,2.5598
Sr0.25Ba0.75Cu0.125Mg0.25.625,2.69303,2.55892
Sr0.25Ba0.75Cu0.125Mg0.375Ti0.5,2.10787,1.96539
Sr0.25Ba0.75Cu0.125Mn0.125.75,2.6885,2.5598
